,Tweet,Usuario,Fecha,RTs,Favs
32,"RT @nicolasmorasok: ¿Putin ha traido más prosperidad a Rusia? NO.
¿Ha perjudicado alguna vez al imperialismo norteamericano? NO
¿Está realm…",HoracioRubio97,2022-06-21 01:32:36,59,0
33,RT @GreccoMiguel: Sería una lástima que un avión de combate ucraniano pierda el rumbo y por error bombardee este Palacio de 1000 millones d…,EduChristello,2022-06-21 01:32:36,1,0
34,@gerardotc ICBM de Putin de camino a Rota? Igual dan un rodeo para despistar.,jr_meca,2022-06-21 01:32:29,0,0
35,"RT @nicolasmorasok: 💣 Putin advierte FIN del MUNDO, Gates MAS CRISIS, Colombia SOCIALISTA, ¿Assange Extraditado? 🔥 https://t.co/phL3eCzcLU…",Angel59984766,2022-06-21 01:32:27,18,0
36,@lbgeraldino_n @miguelsabat @clcairo @doblerrster @rascanio57 @fmoral1959 @toroalvarol Esto lo sabemos. El perjuici… https://t.co/tFPW2IQanU,zuvir,2022-06-21 01:32:22,0,0
37,"“No se puede dejar la seguridad nuclear en manos de Putin”, la advertencia de una Premio Nobel de la Paz - Infobae https://t.co/2qYaPPDsaX",MariaElenaLlan4,2022-06-21 01:31:52,0,0
38,"@arayamas Y falto un urra para maduro, ortega, arce, morales, fernandez y fernandez, petro, chavez, lula, rusel, pu… https://t.co/hnqVLdqWca",pdvilela59,2022-06-21 01:31:08,0,0
39,"RT @ActualidadRT: Putin: ""A empresarios rusos les robaron el dinero que exportaron legalmente al extranjero"" https://t.co/v2fm3i37eH",RosalioAquino,2022-06-21 01:31:04,163,0
40,"¡Vete a la mierda, PUTIN!
(Spanish)

#PutinWarCrimes #RussianWarCrimes #Ukraine #RussiaInvadedUkraine",FuckPutinBot,2022-06-21 01:31:02,0,0
41,"🔥 Pinceladas sobre las Especiales:

-Mano a mano Portazgo-La Ceràmica
-Qué cuidada está siempre Sèneca
-Hay hoguera… https://t.co/9FHuamfDqf",cpascualr,2022-06-21 01:31:00,0,0
42,"RT @ErikSueco: La periodista alemana Alina Lipp se enfrenta a 3 años de cárcel por su cobertura de la guerra en Ucrania. 

3 años de cárcel…",ELBEBECOOKE2021,2022-06-21 01:30:27,2218,0
43,"RT @DanannOficial: Me cago en Fidel Castro, en Hugo Chávez, en el Foro de San Pablo, el Grupo Puebla, China, la Unión Soviética, el muro de…",DanteGalli1,2022-06-21 01:30:26,1492,0
44,"RT @marilynCv: Putin: ""La época del orden mundial unipolar ha terminado"" https://t.co/wJ9a7uN36p",Alexand43092593,2022-06-21 01:30:20,2254,0
45,RT @luismarga05: @facardozo Delincuentes FA pit periodistas militantes sicarios antisemitas se dan de moralista y trabajan para dictadores…,AndrewMartin456,2022-06-21 01:30:18,1,0
46,"RT @MabelPajarita: Jorge El Hermoso defiende al gobierno y a Techint. También defiende  la postura del Potato con Ucrania, critica a USA y…",AnaliaF94921971,2022-06-21 01:30:16,81,0
47,RT @Mision_Verdad: El discurso de Putin seguro tendrá resonancia en el eje multipolar presente en el Foro económico de San Petersburgo y má…,hoswaldosg,2022-06-21 01:30:03,14,0
48,Así es el himno impuesto por Putin en las guarderías de Rusia: “La Unión Europea no tiene opiniones propias” https://t.co/Ga2eHOZb4R,larazon_es,2022-06-21 01:30:02,0,0
49,"¡Vete a la mierda, PUTIN!
(Spanish)

#UkraineUnderAttack #IStandWithUkraine #FuckPutin #Ukraine",FuckPutinBot,2022-06-21 01:30:02,0,0
50,"@VoceroRO Pues mirá, en retrospectiva, uno piensa que ellos pudieron haber hecho varias cosas mejor en Rusia y hoy no existiría Putin.",kaorufan1906,2022-06-21 01:29:25,0,0
51,"@Storm_Malaga Joder…estaba en la orilla de la playa en Rincón de la Victoria y los he visto venir desde Málaga, cru… https://t.co/iJTnafxp2r",Waytankung,2022-06-21 01:29:22,0,0
52,"RT @DanannOficial: Me cago en Fidel Castro, en Hugo Chávez, en el Foro de San Pablo, el Grupo Puebla, China, la Unión Soviética, el muro de…",joseayalaar,2022-06-21 01:29:15,1492,0
53,"RT @ErikSueco: La periodista alemana Alina Lipp se enfrenta a 3 años de cárcel por su cobertura de la guerra en Ucrania. 

3 años de cárcel…",JordiMuozUllde1,2022-06-21 01:29:13,2218,0
54,"RT @YuryHdz08: Putin veía como  Zelenski utilizaba sus tropas para bombardear su propia población, Occidente les vendía armamento, el cual…",jennyca35561303,2022-06-21 01:29:11,54,0
55,"RT @DanannOficial: Me cago en Fidel Castro, en Hugo Chávez, en el Foro de San Pablo, el Grupo Puebla, China, la Unión Soviética, el muro de…",perritotriste1,2022-06-21 01:29:11,1492,0
56,"RT @estuardinho10: cátedra de mi presidente VLADIMIR PUTIN de cómo tratar con entes tipo el cacif o fundesa, ni mierda de tender puentes co…",ronivasco11,2022-06-21 01:29:08,8,0
57,"@lbgeraldino_n @miguelsabat @clcairo @doblerrster @rascanio57 @fmoral1959 @toroalvarol No sé evitó, no se solucionó… https://t.co/MyPMjlasNl",zuvir,2022-06-21 01:28:50,0,0
58,"RT @ActualidadRT: Putin: ""A empresarios rusos les robaron el dinero que exportaron legalmente al extranjero"" https://t.co/v2fm3i37eH",Llanero42,2022-06-21 01:28:49,163,0
59,"RT @DanannOficial: Me cago en Fidel Castro, en Hugo Chávez, en el Foro de San Pablo, el Grupo Puebla, China, la Unión Soviética, el muro de…",Monkfran,2022-06-21 01:28:12,1492,0
60,RT @infobaeamerica: China sigue financiando la invasión de Putin a Ucrania: sus importaciones de petróleo ruso aumentaron en mayo un 55 por…,oscartigre2019,2022-06-21 01:27:43,79,0
61,"RT @PabloOliveraDaS: Reencuentro de dos niños ucranianos con su padre, luego de 3 meses en el frente de batalla. Por ésto están peleando lo…",nicolisazo,2022-06-21 01:27:40,17,0
62,"RT @YuryHdz08: Putin veía como  Zelenski utilizaba sus tropas para bombardear su propia población, Occidente les vendía armamento, el cual…",rocco_ultra,2022-06-21 01:27:08,54,0
